c:\Users\Chris\AppData\Local\Programs\Python\Python311\Lib\site-packages\gym\utils\passive_env_checker.py:233: DeprecationWarning: `np.bool8` is a deprecated alias for `np.bool_`.  (Deprecated NumPy 1.24)
  if not isinstance(terminated, (bool, np.bool8)):
Episode 1: Total Reward: 147.0, Episode Length: 463
c:\Users\Chris\AppData\Local\Programs\Python\Python311\Lib\site-packages\torch\nn\modules\conv.py:456: UserWarning: Plan failed with a cudnnException: CUDNN_BACKEND_EXECUTION_PLAN_DESCRIPTOR: cudnnFinalize Descriptor Failed cudnn_status: CUDNN_STATUS_NOT_SUPPORTED (Triggered internally at ..\aten\src\ATen\native\cudnn\Conv_v8.cpp:919.)
  return F.conv2d(input, weight, bias, self.stride,
Episode 2: Total Reward: 168.0, Episode Length: 811
Episode 3: Total Reward: 147.0, Episode Length: 561
Episode 4: Total Reward: 126.0, Episode Length: 434
Episode 5: Total Reward: 294.0, Episode Length: 853
Episode 6: Total Reward: 315.0, Episode Length: 760
Episode 7: Total Reward: 189.0, Episode Length: 917
Episode 8: Total Reward: 252.0, Episode Length: 696
Episode 9: Total Reward: 189.0, Episode Length: 623
Episode 10: Total Reward: 189.0, Episode Length: 634
Episode 11: Total Reward: 168.0, Episode Length: 547
Episode 12: Total Reward: 336.0, Episode Length: 906
Episode 13: Total Reward: 336.0, Episode Length: 874
Episode 14: Total Reward: 231.0, Episode Length: 634
Episode 15: Total Reward: 231.0, Episode Length: 822
Episode 16: Total Reward: 147.0, Episode Length: 434
Episode 17: Total Reward: 315.0, Episode Length: 834
Episode 18: Total Reward: 294.0, Episode Length: 791
Episode 19: Total Reward: 294.0, Episode Length: 740
Episode 20: Total Reward: 105.0, Episode Length: 612
Episode 21: Total Reward: 189.0, Episode Length: 647
Episode 22: Total Reward: 378.0, Episode Length: 927
Episode 23: Total Reward: 126.0, Episode Length: 561
Episode 24: Total Reward: 210.0, Episode Length: 775
Episode 25: Total Reward: 189.0, Episode Length: 623
Episode 26: Total Reward: 210.0, Episode Length: 731
Episode 27: Total Reward: 189.0, Episode Length: 822
Episode 28: Total Reward: 252.0, Episode Length: 760
Episode 29: Total Reward: 315.0, Episode Length: 885
Episode 30: Total Reward: 189.0, Episode Length: 605
Episode 31: Total Reward: 189.0, Episode Length: 434
Found ValueError: expected sequence of length 210 at dim 1 (got 3), skipping to the next episode!
C:\Users\Chris\AppData\Local\Temp\ipykernel_14712\1792705555.py:41: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at ..\torch\csrc\utils\tensor_new.cpp:277.)
  state_tensor = torch.FloatTensor(state).unsqueeze(0).to(parameters['device'])
Episode 33: Total Reward: 231.0, Episode Length: 612
Found ValueError: expected sequence of length 210 at dim 1 (got 3), skipping to the next episode!
Episode 35: Total Reward: 231.0, Episode Length: 760
Episode 36: Total Reward: 252.0, Episode Length: 696
Episode 37: Total Reward: 63.0, Episode Length: 478
Found ValueError: expected sequence of length 210 at dim 1 (got 3), skipping to the next episode!
Episode 39: Total Reward: 189.0, Episode Length: 612
Episode 40: Total Reward: 315.0, Episode Length: 834
Episode 41: Total Reward: 231.0, Episode Length: 781
Episode 42: Total Reward: 147.0, Episode Length: 434
Episode 43: Total Reward: 189.0, Episode Length: 579
Episode 44: Total Reward: 189.0, Episode Length: 718
Episode 45: Total Reward: 315.0, Episode Length: 801
Episode 46: Total Reward: 189.0, Episode Length: 781
Episode 47: Total Reward: 189.0, Episode Length: 485
Episode 48: Total Reward: 168.0, Episode Length: 527
Episode 49: Total Reward: 210.0, Episode Length: 673
Episode 50: Total Reward: 483.0, Episode Length: 927
Episode 51: Total Reward: 210.0, Episode Length: 750
Episode 52: Total Reward: 84.0, Episode Length: 485
Episode 53: Total Reward: 210.0, Episode Length: 673
Episode 54: Total Reward: 252.0, Episode Length: 822
Episode 55: Total Reward: 63.0, Episode Length: 287
Episode 56: Total Reward: 252.0, Episode Length: 634
Episode 57: Total Reward: 189.0, Episode Length: 834
Found ValueError: expected sequence of length 210 at dim 1 (got 3), skipping to the next episode!
Found ValueError: expected sequence of length 210 at dim 1 (got 3), skipping to the next episode!
Episode 60: Total Reward: 252.0, Episode Length: 687
Episode 61: Total Reward: 210.0, Episode Length: 774
Found ValueError: expected sequence of length 210 at dim 1 (got 3), skipping to the next episode!
Episode 63: Total Reward: 294.0, Episode Length: 895
Episode 64: Total Reward: 336.0, Episode Length: 885
Episode 65: Total Reward: 252.0, Episode Length: 822
Episode 66: Total Reward: 378.0, Episode Length: 811
Episode 67: Total Reward: 294.0, Episode Length: 781
Episode 68: Total Reward: 294.0, Episode Length: 834
Episode 69: Total Reward: 294.0, Episode Length: 811
Episode 70: Total Reward: 210.0, Episode Length: 605
Episode 71: Total Reward: 273.0, Episode Length: 853
Episode 72: Total Reward: 189.0, Episode Length: 732
Episode 73: Total Reward: 252.0, Episode Length: 801
Episode 74: Total Reward: 273.0, Episode Length: 834
Episode 75: Total Reward: 294.0, Episode Length: 663
Episode 76: Total Reward: 231.0, Episode Length: 750
Episode 77: Total Reward: 231.0, Episode Length: 943
Episode 78: Total Reward: 294.0, Episode Length: 864
Episode 79: Total Reward: 378.0, Episode Length: 990
Episode 80: Total Reward: 252.0, Episode Length: 731
Episode 81: Total Reward: 189.0, Episode Length: 485
Episode 82: Total Reward: 357.0, Episode Length: 731
Episode 83: Total Reward: 294.0, Episode Length: 864
Episode 84: Total Reward: 357.0, Episode Length: 864
Episode 85: Total Reward: 84.0, Episode Length: 302
Episode 86: Total Reward: 252.0, Episode Length: 874
Episode 87: Total Reward: 294.0, Episode Length: 801
Episode 88: Total Reward: 189.0, Episode Length: 874
Episode 89: Total Reward: 168.0, Episode Length: 673
Episode 90: Total Reward: 126.0, Episode Length: 343
Episode 91: Total Reward: 357.0, Episode Length: 740
Episode 92: Total Reward: 147.0, Episode Length: 527
Episode 93: Total Reward: 252.0, Episode Length: 685
Episode 94: Total Reward: 168.0, Episode Length: 602
Episode 95: Total Reward: 504.0, Episode Length: 1118
Episode 96: Total Reward: 189.0, Episode Length: 605
Episode 97: Total Reward: 147.0, Episode Length: 688
Episode 98: Total Reward: 441.0, Episode Length: 811
Episode 99: Total Reward: 315.0, Episode Length: 771
Episode 100: Total Reward: 357.0, Episode Length: 949
Episode 101: Total Reward: 252.0, Episode Length: 687
Episode 102: Total Reward: 294.0, Episode Length: 844
Episode 103: Total Reward: 189.0, Episode Length: 688
Episode 104: Total Reward: 189.0, Episode Length: 906
Episode 105: Total Reward: 189.0, Episode Length: 569
Episode 106: Total Reward: 252.0, Episode Length: 874
Episode 107: Total Reward: 126.0, Episode Length: 822
Episode 108: Total Reward: 357.0, Episode Length: 939
Episode 109: Total Reward: 189.0, Episode Length: 688
Episode 110: Total Reward: 399.0, Episode Length: 927
Episode 111: Total Reward: 189.0, Episode Length: 430
Episode 112: Total Reward: 399.0, Episode Length: 728
Found ValueError: expected sequence of length 210 at dim 1 (got 3), skipping to the next episode!
Episode 114: Total Reward: 210.0, Episode Length: 604
Episode 115: Total Reward: 315.0, Episode Length: 895
Episode 116: Total Reward: 189.0, Episode Length: 478
Episode 117: Total Reward: 273.0, Episode Length: 834
Episode 118: Total Reward: 273.0, Episode Length: 816
Episode 119: Total Reward: 126.0, Episode Length: 442
Episode 120: Total Reward: 273.0, Episode Length: 864
Episode 121: Total Reward: 189.0, Episode Length: 781
Episode 122: Total Reward: 105.0, Episode Length: 569
Episode 123: Total Reward: 189.0, Episode Length: 561
Episode 124: Total Reward: 273.0, Episode Length: 853
Episode 125: Total Reward: 231.0, Episode Length: 687
Episode 126: Total Reward: 210.0, Episode Length: 760
Episode 127: Total Reward: 294.0, Episode Length: 864
Episode 128: Total Reward: 189.0, Episode Length: 663
Episode 129: Total Reward: 210.0, Episode Length: 634
Episode 130: Total Reward: 231.0, Episode Length: 673
Episode 131: Total Reward: 231.0, Episode Length: 688
Found ValueError: expected sequence of length 210 at dim 1 (got 3), skipping to the next episode!
Found ValueError: expected sequence of length 210 at dim 1 (got 3), skipping to the next episode!
Episode 134: Total Reward: 273.0, Episode Length: 822
Episode 135: Total Reward: 147.0, Episode Length: 634
Episode 136: Total Reward: 273.0, Episode Length: 814
Episode 137: Total Reward: 315.0, Episode Length: 844
Episode 138: Total Reward: 189.0, Episode Length: 634
Episode 139: Total Reward: 189.0, Episode Length: 844
Episode 140: Total Reward: 231.0, Episode Length: 885
Episode 141: Total Reward: 189.0, Episode Length: 591
Episode 142: Total Reward: 336.0, Episode Length: 939
Episode 143: Total Reward: 273.0, Episode Length: 885
Episode 144: Total Reward: 189.0, Episode Length: 844
Episode 145: Total Reward: 84.0, Episode Length: 309
Episode 146: Total Reward: 378.0, Episode Length: 1055
Episode 147: Total Reward: 294.0, Episode Length: 855
Episode 148: Total Reward: 231.0, Episode Length: 844
Episode 149: Total Reward: 189.0, Episode Length: 591
Episode 150: Total Reward: 231.0, Episode Length: 822
Episode 151: Total Reward: 189.0, Episode Length: 612
Found ValueError: expected sequence of length 210 at dim 1 (got 3), skipping to the next episode!
Episode 153: Total Reward: 378.0, Episode Length: 864
Episode 154: Total Reward: 273.0, Episode Length: 927
Found ValueError: expected sequence of length 210 at dim 1 (got 3), skipping to the next episode!
Episode 156: Total Reward: 273.0, Episode Length: 646
Episode 157: Total Reward: 210.0, Episode Length: 811
Episode 158: Total Reward: 315.0, Episode Length: 874
Episode 159: Total Reward: 168.0, Episode Length: 696
Episode 160: Total Reward: 399.0, Episode Length: 970
Found ValueError: expected sequence of length 210 at dim 1 (got 3), skipping to the next episode!
Episode 162: Total Reward: 252.0, Episode Length: 774
Episode 163: Total Reward: 210.0, Episode Length: 740
Episode 164: Total Reward: 273.0, Episode Length: 885
Episode 165: Total Reward: 294.0, Episode Length: 959
Episode 166: Total Reward: 189.0, Episode Length: 685
Episode 167: Total Reward: 378.0, Episode Length: 1002
Episode 168: Total Reward: 231.0, Episode Length: 811
Episode 169: Total Reward: 189.0, Episode Length: 685
Episode 170: Total Reward: 189.0, Episode Length: 647
Episode 171: Total Reward: 378.0, Episode Length: 906
Episode 172: Total Reward: 273.0, Episode Length: 731
Episode 173: Total Reward: 252.0, Episode Length: 834
Episode 174: Total Reward: 378.0, Episode Length: 855
Episode 175: Total Reward: 378.0, Episode Length: 774
Episode 176: Total Reward: 273.0, Episode Length: 634
Episode 177: Total Reward: 189.0, Episode Length: 634
Episode 178: Total Reward: 294.0, Episode Length: 844
Episode 179: Total Reward: 147.0, Episode Length: 647
Episode 180: Total Reward: 315.0, Episode Length: 673
Episode 181: Total Reward: 189.0, Episode Length: 612
Episode 182: Total Reward: 231.0, Episode Length: 685
Episode 183: Total Reward: 189.0, Episode Length: 663
Episode 184: Total Reward: 210.0, Episode Length: 864
Episode 185: Total Reward: 168.0, Episode Length: 732
Found ValueError: expected sequence of length 210 at dim 1 (got 3), skipping to the next episode!
Episode 187: Total Reward: 252.0, Episode Length: 560
Episode 188: Total Reward: 189.0, Episode Length: 728
Episode 189: Total Reward: 252.0, Episode Length: 959
Episode 190: Total Reward: 231.0, Episode Length: 775
Episode 191: Total Reward: 147.0, Episode Length: 602
Found ValueError: expected sequence of length 210 at dim 1 (got 3), skipping to the next episode!
Episode 193: Total Reward: 336.0, Episode Length: 760
Episode 194: Total Reward: 168.0, Episode Length: 647
Episode 195: Total Reward: 126.0, Episode Length: 591
Episode 196: Total Reward: 189.0, Episode Length: 652
Episode 197: Total Reward: 189.0, Episode Length: 602
Episode 198: Total Reward: 399.0, Episode Length: 1066
Episode 199: Total Reward: 336.0, Episode Length: 740
Episode 200: Total Reward: 252.0, Episode Length: 646
Episode 201: Total Reward: 294.0, Episode Length: 663
Episode 202: Total Reward: 147.0, Episode Length: 750
Episode 203: Total Reward: 231.0, Episode Length: 774
Episode 204: Total Reward: 105.0, Episode Length: 561
Episode 205: Total Reward: 210.0, Episode Length: 591
Episode 206: Total Reward: 315.0, Episode Length: 771
Episode 207: Total Reward: 315.0, Episode Length: 816
Episode 208: Total Reward: 420.0, Episode Length: 874
Episode 209: Total Reward: 147.0, Episode Length: 442
Episode 210: Total Reward: 336.0, Episode Length: 728
Episode 211: Total Reward: 231.0, Episode Length: 801
Episode 212: Total Reward: 189.0, Episode Length: 791
Episode 213: Total Reward: 210.0, Episode Length: 663
Episode 214: Total Reward: 336.0, Episode Length: 906
Episode 215: Total Reward: 189.0, Episode Length: 844
Found ValueError: expected sequence of length 210 at dim 1 (got 3), skipping to the next episode!
Episode 217: Total Reward: 147.0, Episode Length: 643
Episode 218: Total Reward: 294.0, Episode Length: 822
Episode 219: Total Reward: 231.0, Episode Length: 634
Episode 220: Total Reward: 168.0, Episode Length: 561
Episode 221: Total Reward: 315.0, Episode Length: 853
Episode 222: Total Reward: 189.0, Episode Length: 643
Episode 223: Total Reward: 378.0, Episode Length: 874
Episode 224: Total Reward: 294.0, Episode Length: 718
Episode 225: Total Reward: 315.0, Episode Length: 646
Episode 226: Total Reward: 273.0, Episode Length: 853
Found ValueError: expected sequence of length 210 at dim 1 (got 3), skipping to the next episode!
Episode 228: Total Reward: 399.0, Episode Length: 980
Episode 229: Total Reward: 231.0, Episode Length: 604
Episode 230: Total Reward: 273.0, Episode Length: 685
Episode 231: Total Reward: 273.0, Episode Length: 834
Episode 232: Total Reward: 189.0, Episode Length: 750
Episode 233: Total Reward: 189.0, Episode Length: 822
Episode 234: Total Reward: 252.0, Episode Length: 685
Episode 235: Total Reward: 210.0, Episode Length: 612
Episode 236: Total Reward: 189.0, Episode Length: 643
Episode 237: Total Reward: 420.0, Episode Length: 1032
Episode 238: Total Reward: 210.0, Episode Length: 666
Episode 239: Total Reward: 336.0, Episode Length: 853
Episode 240: Total Reward: 231.0, Episode Length: 643
Episode 241: Total Reward: 294.0, Episode Length: 970
Episode 242: Total Reward: 294.0, Episode Length: 970
Episode 243: Total Reward: 294.0, Episode Length: 707
Episode 244: Total Reward: 252.0, Episode Length: 505
Episode 245: Total Reward: 189.0, Episode Length: 561
Found ValueError: expected sequence of length 210 at dim 1 (got 3), skipping to the next episode!
Episode 247: Total Reward: 399.0, Episode Length: 895
Episode 248: Total Reward: 273.0, Episode Length: 844
Episode 249: Total Reward: 294.0, Episode Length: 652
Episode 250: Total Reward: 315.0, Episode Length: 885
Episode 251: Total Reward: 294.0, Episode Length: 895
Episode 252: Total Reward: 189.0, Episode Length: 791
Episode 253: Total Reward: 168.0, Episode Length: 478
Episode 254: Total Reward: 294.0, Episode Length: 822
Episode 255: Total Reward: 336.0, Episode Length: 853
Episode 256: Total Reward: 210.0, Episode Length: 647
Episode 257: Total Reward: 189.0, Episode Length: 673
Episode 258: Total Reward: 252.0, Episode Length: 853
Episode 259: Total Reward: 273.0, Episode Length: 774
Episode 260: Total Reward: 231.0, Episode Length: 518
Found ValueError: expected sequence of length 210 at dim 1 (got 3), skipping to the next episode!
Episode 262: Total Reward: 252.0, Episode Length: 811
Episode 263: Total Reward: 189.0, Episode Length: 652
Episode 264: Total Reward: 189.0, Episode Length: 309
Found ValueError: expected sequence of length 210 at dim 1 (got 3), skipping to the next episode!
Episode 266: Total Reward: 231.0, Episode Length: 864
Episode 267: Total Reward: 168.0, Episode Length: 685
Episode 268: Total Reward: 315.0, Episode Length: 885
Episode 269: Total Reward: 189.0, Episode Length: 485
Episode 270: Total Reward: 231.0, Episode Length: 927
Episode 271: Total Reward: 168.0, Episode Length: 663
Episode 272: Total Reward: 42.0, Episode Length: 343
Episode 273: Total Reward: 189.0, Episode Length: 561
Episode 274: Total Reward: 210.0, Episode Length: 685
Episode 275: Total Reward: 189.0, Episode Length: 740
Episode 276: Total Reward: 315.0, Episode Length: 814
Episode 277: Total Reward: 252.0, Episode Length: 814
Episode 278: Total Reward: 231.0, Episode Length: 822
Episode 279: Total Reward: 168.0, Episode Length: 623
Episode 280: Total Reward: 420.0, Episode Length: 1076
Found ValueError: expected sequence of length 210 at dim 1 (got 3), skipping to the next episode!
Episode 282: Total Reward: 273.0, Episode Length: 844
Episode 283: Total Reward: 378.0, Episode Length: 939
Episode 284: Total Reward: 273.0, Episode Length: 864
Episode 285: Total Reward: 399.0, Episode Length: 801
Episode 286: Total Reward: 210.0, Episode Length: 707
Episode 287: Total Reward: 315.0, Episode Length: 643
Episode 288: Total Reward: 63.0, Episode Length: 442
Episode 289: Total Reward: 441.0, Episode Length: 1112
Found ValueError: expected sequence of length 210 at dim 1 (got 3), skipping to the next episode!
Episode 291: Total Reward: 336.0, Episode Length: 844
Episode 292: Total Reward: 315.0, Episode Length: 801
Episode 293: Total Reward: 399.0, Episode Length: 959
Episode 294: Total Reward: 252.0, Episode Length: 885
Found ValueError: expected sequence of length 210 at dim 1 (got 3), skipping to the next episode!
Episode 296: Total Reward: 252.0, Episode Length: 696
Episode 297: Total Reward: 189.0, Episode Length: 696
Found ValueError: expected sequence of length 210 at dim 1 (got 3), skipping to the next episode!
Episode 299: Total Reward: 399.0, Episode Length: 814
Found ValueError: expected sequence of length 210 at dim 1 (got 3), skipping to the next episode!
Episode 301: Total Reward: 294.0, Episode Length: 864
Episode 302: Total Reward: 315.0, Episode Length: 740
Episode 303: Total Reward: 189.0, Episode Length: 791
Episode 304: Total Reward: 294.0, Episode Length: 885
Episode 305: Total Reward: 441.0, Episode Length: 1012
Episode 306: Total Reward: 252.0, Episode Length: 864
Episode 307: Total Reward: 336.0, Episode Length: 685
Episode 308: Total Reward: 189.0, Episode Length: 647
Episode 309: Total Reward: 399.0, Episode Length: 980
Episode 310: Total Reward: 231.0, Episode Length: 811
Episode 311: Total Reward: 378.0, Episode Length: 885
Found ValueError: expected sequence of length 210 at dim 1 (got 3), skipping to the next episode!
Episode 313: Total Reward: 168.0, Episode Length: 688
Episode 314: Total Reward: 126.0, Episode Length: 453
Episode 315: Total Reward: 231.0, Episode Length: 801
Episode 316: Total Reward: 336.0, Episode Length: 834
Episode 317: Total Reward: 84.0, Episode Length: 453
Found ValueError: expected sequence of length 210 at dim 1 (got 3), skipping to the next episode!
Episode 319: Total Reward: 210.0, Episode Length: 591
